tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291478,142,5060,4095,0.066,8.319
3323848,142,5093,4095,0.135,8.388
3356173,142,5354,4095,0.679,8.932
3388474,142,5935,4095,1.889,10.142
3420800,143,6504,4095,3.075,11.328
3453112,144,6968,4095,4.041,12.294
3485449,145,7381,4095,4.902,13.155
3517750,146,7776,4095,5.725,13.978
3550087,147,8151,4095,6.506,14.759
3582384,148,8502,4095,7.237,15.490
3614723,150,8839,4095,7.939,16.192
3647032,152,9189,4095,8.669,16.922
3679356,153,9534,4095,9.387,17.640
3711671,155,9855,4095,10.056,18.309
3743989,157,10155,4095,10.681,18.934
3776311,159,10413,4095,11.219,19.472
3808644,160,10679,4095,11.773,20.026
3840960,162,11033,4095,12.510,20.763
3873283,164,11322,4095,13.112,21.365
3905601,165,11506,4095,13.496,21.749
3937933,167,11711,4095,13.923,22.176
3970243,168,11962,4095,14.446,22.699
4002573,170,12242,4095,15.029,23.282
4034895,171,12505,4095,15.577,23.830
4067227,173,12749,4095,16.085,24.338
4099535,174,12976,4095,16.558,24.811
4131866,175,13199,4095,17.023,25.276
4164187,176,13401,4095,17.444,25.697
4196520,177,13596,4095,17.850,26.103
4228828,178,13776,4095,18.225,26.478
4261161,178,13951,4095,18.589,26.842
4293476,179,14123,4095,18.948,27.201
4325811,179,14293,4095,19.302,27.555
4358120,180,14460,4095,19.650,27.903
4390447,180,14619,4095,19.981,28.234
4422771,180,14770,4095,20.296,28.549
4455104,180,14915,4095,20.598,28.851
4487412,180,15049,4095,20.877,29.130
4519736,180,15176,4095,21.141,29.394
4552064,180,15295,4095,21.389,29.642
4584399,179,15413,4095,21.635,29.888
4616708,179,15522,4095,21.862,30.115
4649027,179,15618,4095,22.062,30.315
4681361,179,15705,4095,22.243,30.497
4713688,178,15789,4095,22.418,30.672
4745998,178,15861,4095,22.568,30.822
4778324,177,15928,4095,22.708,30.961
4810633,177,15985,4095,22.827,31.080
4842973,177,16053,4095,22.968,31.222
4875280,177,16110,4095,23.087,31.340
4907609,177,16155,4095,23.181,31.434
4939931,177,16192,4095,23.258,31.511
4972277,176,16224,4095,23.325,31.578
5004586,175,16253,4095,23.385,31.638
5036905,173,16276,4095,23.433,31.686
5069226,172,16296,4095,23.475,31.728
5101566,171,16307,4095,23.498,31.751
5133876,170,16309,4095,23.502,31.755
5166202,169,16302,4095,23.487,31.740
5198521,168,16286,4095,23.454,31.707
5230860,167,16264,4095,23.408,31.661
5263168,166,16228,4095,23.333,31.586
5295491,165,16195,4095,23.264,31.517
5327812,164,16149,4095,23.168,31.422
5360152,163,16094,4095,23.054,31.307
5392467,162,16032,4095,22.925,31.178
5424785,161,15966,4095,22.787,31.040
5457107,161,15897,4095,22.644,30.897
5489440,160,15829,4095,22.502,30.755
5521756,159,15762,4095,22.362,30.615
5554079,158,15701,4095,22.235,30.488
5586389,158,15640,4095,22.108,30.361
5618725,157,15581,4095,21.985,30.238
5651028,156,15519,4095,21.856,30.109
5683349,155,15458,4095,21.729,29.982
5715651,155,15393,4095,21.593,29.847
5747969,154,15327,4095,21.456,29.709
5780301,154,15260,4095,21.316,29.569
5812627,153,15191,4095,21.173,29.426
5844938,152,15121,4095,21.027,29.280
5877263,152,15061,4095,20.902,29.155
5909581,151,14997,4095,20.769,29.022
5941919,151,14919,4095,20.606,28.859
5974230,150,14843,4095,20.448,28.701
6006552,150,14771,4095,20.298,28.551
6038874,150,14700,4095,20.150,28.403
6071215,149,14630,4095,20.004,28.257
6103525,149,14560,4095,19.858,28.111
6135843,149,14492,4095,19.716,27.969
6168164,150,14427,4095,19.581,27.834
6200502,151,14364,4095,19.450,27.703
6232817,153,14306,4095,19.329,27.582
6265140,154,14256,4095,19.225,27.478
6297459,155,14214,4095,19.137,27.390
6329790,157,14181,4095,19.069,27.322
6362107,158,14158,4095,19.021,27.274
6394430,159,14149,4095,19.002,27.255
6426752,161,14151,4095,19.006,27.259
6459084,162,14164,4095,19.033,27.286
6491406,164,14187,4095,19.081,27.334
6523724,165,14222,4095,19.154,27.407
6556047,164,14268,4095,19.250,27.503
6588378,163,14322,4095,19.362,27.615
6620688,162,14382,4095,19.487,27.740
6653018,162,14450,4095,19.629,27.882
6685333,161,14519,4095,19.773,28.026
6717668,160,14585,4095,19.910,28.163
6749989,159,14648,4095,20.041,28.294
6782319,159,14706,4095,20.162,28.415
6814635,158,14757,4095,20.268,28.522
6846962,157,14799,4095,20.356,28.609
6879270,156,14832,4095,20.425,28.678
6911601,156,14855,4095,20.473,28.726
6943923,155,14867,4095,20.498,28.751
6976256,154,14869,4095,20.502,28.755
7008566,154,14863,4095,20.489,28.742
7040896,153,14849,4095,20.460,28.713
7073216,152,14827,4095,20.414,28.667
7105546,152,14798,4095,20.354,28.607
7137858,151,14761,4095,20.277,28.530
7170181,150,14717,4095,20.185,28.438
7202503,150,14670,4095,20.087,28.340
7234838,149,14620,4095,19.983,28.236
7267147,149,14564,4095,19.866,28.119
7299470,148,14506,4095,19.746,27.999
7331802,147,14446,4095,19.621,27.874
7364134,147,14385,4095,19.493,27.747
7396443,146,14323,4095,19.364,27.617
7428762,146,14261,4095,19.235,27.488
7461096,145,14202,4095,19.112,27.365
7493423,145,14145,4095,18.994,27.247
7525734,144,14093,4095,18.885,27.138
7558059,144,14042,4095,18.779,27.032
7590387,143,13994,4095,18.679,26.932
7622717,143,13948,4095,18.583,26.836
7655025,142,13902,4095,18.487,26.740
7687348,142,13855,4095,18.389,26.642
7719670,141,13809,4095,18.293,26.547
7752011,141,13762,4095,18.196,26.449
7784321,140,13714,4095,18.096,26.349
7816640,140,13664,4095,17.991,26.244
7848961,139,13614,4095,17.887,26.140
7881301,139,13564,4095,17.783,26.036
7913613,138,13515,4095,17.681,25.934
7945937,138,13466,4095,17.579,25.832
7978255,138,13417,4095,17.477,25.730
8010594,137,13367,4095,17.373,25.626
8042903,137,13317,4095,17.269,25.522
8075225,136,13268,4095,17.166,25.419
8107548,136,13218,4095,17.062,25.315
8139881,136,13167,4095,16.956,25.209
8172185,135,13119,4095,16.856,25.109
8204514,135,13083,4095,16.781,25.034
8236829,135,13041,4095,16.694,24.947
8269166,134,12993,4095,16.594,24.847
8301469,134,12946,4095,16.496,24.749
8333791,134,12902,4095,16.404,24.657
8366091,134,12860,4095,16.316,24.569
8398415,133,12817,4095,16.227,24.480
8430744,133,12778,4095,16.146,24.399
8463072,133,12740,4095,16.066,24.319
8495382,133,12703,4095,15.989,24.242
8527701,132,12667,4095,15.914,24.167
8560033,132,12634,4095,15.846,24.099
8592362,132,12603,4095,15.781,24.034
8624674,132,12567,4095,15.706,23.959
8656998,131,12535,4095,15.639,23.892
8689307,131,12503,4095,15.573,23.826
8721654,131,12471,4095,15.506,23.759
8753964,131,12441,4095,15.444,23.697
8786287,131,12411,4095,15.381,23.634
8818610,131,12384,4095,15.325,23.578
8850950,130,12359,4095,15.273,23.526
8883259,130,12336,4095,15.225,23.478
8915578,130,12312,4095,15.175,23.428
8947901,130,12289,4095,15.127,23.380
8980237,130,12267,4095,15.081,23.334
9012548,130,12245,4095,15.035,23.288
9044875,130,12224,4095,14.991,23.244
9077185,130,12204,4095,14.950,23.203
9109521,130,12185,4095,14.910,23.163
9141812,129,12169,4095,14.877,23.130
9174134,129,12155,4095,14.848,23.101
9206444,129,12142,4095,14.821,23.074
9238763,129,12131,4095,14.798,23.051
9271097,129,12121,4095,14.777,23.030
9303423,129,12112,4095,14.758,23.011
9335735,129,12105,4095,14.743,22.997
9368059,129,12098,4095,14.729,22.982
9400380,129,12092,4095,14.716,22.969
9432715,129,12087,4095,14.706,22.959
9465025,129,12081,4095,14.694,22.947
9497348,129,12070,4095,14.671,22.924
9529670,129,12057,4095,14.644,22.897
9562011,129,12052,4095,14.633,22.886
9594321,130,12046,4095,14.621,22.874
9626641,130,12041,4095,14.610,22.863
9658962,130,12042,4095,14.612,22.865
9691301,130,12044,4095,14.616,22.869
9723611,130,12045,4095,14.618,22.872
9755936,130,12046,4095,14.621,22.874
9788540,142,12050,4095,14.629,22.882
9820872,142,12057,4095,14.644,22.897
9853171,142,12076,4095,14.683,22.936
9885494,142,12112,4095,14.758,23.011
9917817,143,12164,4095,14.866,23.119
9950152,144,12231,4095,15.006,23.259
9982467,145,12309,4095,15.168,23.422
10014785,146,12395,4095,15.348,23.601
10047107,147,12486,4095,15.537,23.790
10079440,148,12583,4095,15.739,23.992
10111758,150,12683,4095,15.948,24.201
10144079,152,12785,4095,16.160,24.413
10176390,153,12887,4095,16.373,24.626
10208725,155,12990,4095,16.587,24.840
10241028,157,13092,4095,16.800,25.053
