tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291466,142,5129,4095,-0.004,8.463
3323842,142,5140,4095,0.019,8.486
3356170,142,5302,4095,0.357,8.824
3388478,142,5849,4095,1.496,9.963
3420804,143,6469,4095,2.788,11.255
3453118,144,6966,4095,3.823,12.290
3485454,145,7392,4095,4.711,13.178
3517755,146,7845,4095,5.655,14.122
3550095,147,8308,4095,6.619,15.086
3582407,148,8707,4095,7.450,15.917
3614747,150,9046,4095,8.157,16.624
3647048,152,9366,4095,8.823,17.290
3679367,153,9692,4095,9.502,17.969
3711676,155,10014,4095,10.173,18.640
3743993,157,10319,4095,10.809,19.276
3776315,159,10607,4095,11.409,19.876
3808648,160,10893,4095,12.005,20.472
3840964,162,11179,4095,12.600,21.067
3873287,164,11460,4095,13.186,21.653
3905605,165,11733,4095,13.755,22.222
3937937,167,11998,4095,14.307,22.774
3970247,168,12261,4095,14.855,23.322
4002577,170,12521,4095,15.396,23.863
4034898,171,12772,4095,15.919,24.386
4067231,173,13012,4095,16.419,24.886
4099539,174,13242,4095,16.898,25.365
4131870,175,13461,4095,17.355,25.822
4164191,176,13672,4095,17.794,26.261
4196525,177,13875,4095,18.217,26.684
4228834,178,14069,4095,18.621,27.088
4261165,178,14241,4095,18.980,27.447
4293484,179,14401,4095,19.313,27.780
4325815,179,14566,4095,19.657,28.124
4358124,180,14730,4095,19.998,28.465
4390451,180,14891,4095,20.334,28.801
4422775,180,15049,4095,20.663,29.130
4455108,180,15198,4095,20.973,29.440
4487416,180,15341,4095,21.271,29.738
4519740,180,15477,4095,21.555,30.022
4552068,180,15604,4095,21.819,30.286
4584403,179,15723,4095,22.067,30.534
4616711,179,15834,4095,22.298,30.765
4649030,179,15937,4095,22.513,30.980
4681352,179,16032,4095,22.711,31.178
4713687,178,16119,4095,22.892,31.359
4745986,178,16197,4095,23.055,31.522
4778306,177,16268,4095,23.202,31.669
4810612,177,16334,4095,23.340,31.807
4842932,177,16394,4095,23.465,31.932
4875252,177,16449,4095,23.580,32.047
4907585,177,16498,4095,23.682,32.149
4939892,177,16541,4095,23.771,32.238
4972221,176,16576,4095,23.844,32.311
5004533,175,16607,4095,23.909,32.376
5036870,173,16630,4095,23.957,32.424
5069170,172,16648,4095,23.994,32.461
5101493,171,16657,4095,24.013,32.480
5133798,170,16658,4095,24.015,32.482
5166116,169,16650,4095,23.998,32.465
5198437,168,16636,4095,23.969,32.436
5230772,167,16611,4095,23.917,32.384
5263078,166,16578,4095,23.848,32.315
5295411,165,16535,4095,23.759,32.226
5327721,164,16483,4095,23.650,32.117
5360067,163,16420,4095,23.519,31.986
5392376,162,16351,4095,23.375,31.842
5424699,161,16277,4095,23.221,31.688
5457020,161,16205,4095,23.071,31.538
5489352,160,16134,4095,22.923,31.390
5521656,159,16066,4095,22.782,31.249
5553989,158,15997,4095,22.638,31.105
5586305,158,15930,4095,22.498,30.965
5618642,157,15862,4095,22.357,30.824
5650946,156,15791,4095,22.209,30.676
5683265,155,15719,4095,22.059,30.526
5715564,155,15646,4095,21.907,30.374
5747885,154,15571,4095,21.750,30.217
5780216,154,15494,4095,21.590,30.057
5812546,153,15416,4095,21.427,29.894
5844857,152,15336,4095,21.261,29.728
5877176,152,15256,4095,21.094,29.561
5909497,151,15176,4095,20.927,29.394
5941835,151,15097,4095,20.763,29.230
5974145,150,15019,4095,20.600,29.067
6006471,150,14943,4095,20.442,28.909
6038781,150,14868,4095,20.286,28.753
6071127,149,14797,4095,20.138,28.605
6103437,149,14728,4095,19.994,28.461
6135760,149,14661,4095,19.855,28.322
6168081,150,14599,4095,19.725,28.192
6200421,151,14543,4095,19.609,28.076
6232731,153,14488,4095,19.494,27.961
6265050,154,14440,4095,19.394,27.861
6297360,155,14399,4095,19.309,27.776
6329698,157,14367,4095,19.242,27.709
6362025,158,14344,4095,19.194,27.661
6394348,159,14326,4095,19.157,27.624
6426664,161,14320,4095,19.144,27.611
6458998,162,14322,4095,19.148,27.615
6491310,164,14338,4095,19.182,27.649
6523638,165,14370,4095,19.248,27.715
6555960,164,14413,4095,19.338,27.805
6588292,163,14468,4095,19.452,27.919
6620610,162,14532,4095,19.586,28.053
6652931,162,14600,4095,19.727,28.194
6685252,161,14663,4095,19.859,28.326
6717586,160,14729,4095,19.996,28.463
6749896,159,14792,4095,20.127,28.594
6782226,159,14851,4095,20.250,28.717
6814536,158,14901,4095,20.355,28.822
6846872,157,14943,4095,20.442,28.909
6879173,156,14978,4095,20.515,28.982
6911497,156,15003,4095,20.567,29.034
6943799,155,15016,4095,20.594,29.061
6976116,154,15023,4095,20.609,29.076
7008438,154,15021,4095,20.605,29.072
7040772,153,15011,4095,20.584,29.051
7073079,152,14993,4095,20.546,29.013
7105410,152,14967,4095,20.492,28.959
7137720,151,14935,4095,20.425,28.892
7170065,150,14895,4095,20.342,28.809
7202376,150,14849,4095,20.246,28.713
7234699,149,14797,4095,20.138,28.605
7267021,149,14741,4095,20.021,28.488
7299354,148,14681,4095,19.896,28.363
7331660,147,14621,4095,19.771,28.238
7363987,147,14560,4095,19.644,28.111
7396302,146,14499,4095,19.517,27.984
7428638,146,14440,4095,19.394,27.861
7460943,145,14383,4095,19.275,27.742
7493265,145,14332,4095,19.169,27.636
7525564,144,14288,4095,19.077,27.544
7557886,144,14247,4095,18.992,27.459
7590216,143,14207,4095,18.909,27.376
7622546,143,14165,4095,18.821,27.288
7654856,142,14120,4095,18.727,27.194
7687174,142,14073,4095,18.630,27.097
7719496,141,14027,4095,18.534,27.001
7751835,141,13980,4095,18.436,26.903
7784145,140,13930,4095,18.332,26.799
7816471,140,13881,4095,18.230,26.697
7848789,139,13831,4095,18.125,26.592
7881129,139,13780,4095,18.019,26.486
7913437,138,13730,4095,17.915,26.382
7945760,138,13680,4095,17.811,26.278
7978082,138,13630,4095,17.707,26.174
8010422,137,13579,4095,17.600,26.067
8042731,137,13527,4095,17.492,25.959
8075050,136,13475,4095,17.384,25.851
8107358,136,13424,4095,17.277,25.744
8139699,136,13371,4095,17.167,25.634
8172027,135,13318,4095,17.057,25.524
8204348,135,13266,4095,16.948,25.415
8236663,135,13214,4095,16.840,25.307
8268999,134,13164,4095,16.736,25.203
8301311,134,13116,4095,16.636,25.103
8333638,134,13069,4095,16.538,25.005
8365960,134,13023,4095,16.442,24.909
8398292,133,12978,4095,16.348,24.815
8430610,133,12937,4095,16.263,24.730
8462931,133,12897,4095,16.180,24.647
8495252,133,12858,4095,16.098,24.565
8527585,132,12822,4095,16.023,24.490
8559894,132,12789,4095,15.955,24.422
8592225,132,12756,4095,15.886,24.353
8624539,132,12726,4095,15.823,24.290
8656876,131,12695,4095,15.759,24.226
8689186,131,12666,4095,15.698,24.165
8721516,131,12634,4095,15.632,24.099
8753838,131,12604,4095,15.569,24.036
8786170,131,12574,4095,15.507,23.974
8818478,131,12541,4095,15.438,23.905
8850804,130,12375,4095,15.092,23.559
8883118,130,12148,4095,14.619,23.086
8915454,130,12081,4095,14.480,22.947
8947755,130,12086,4095,14.490,22.957
8980095,130,12083,4095,14.484,22.951
9012408,130,12068,4095,14.452,22.919
9044749,130,12056,4095,14.427,22.894
9077049,130,12040,4095,14.394,22.861
9109370,130,12018,4095,14.348,22.815
9141675,129,11998,4095,14.307,22.774
9173993,129,11987,4095,14.284,22.751
9206315,129,11995,4095,14.300,22.767
9238648,129,11996,4095,14.302,22.769
9270964,129,11992,4095,14.294,22.761
9303287,129,11985,4095,14.280,22.747
9335602,129,11975,4095,14.259,22.726
9367937,129,11969,4095,14.246,22.713
9400246,129,11963,4095,14.234,22.701
9432577,129,11956,4095,14.219,22.686
9464898,129,11950,4095,14.207,22.674
9497230,129,11944,4095,14.194,22.661
9529539,129,11938,4095,14.182,22.649
9561870,129,11935,4095,14.175,22.642
9594191,130,11933,4095,14.171,22.638
9626524,130,11933,4095,14.171,22.638
9658833,130,11933,4095,14.171,22.638
9691165,130,11937,4095,14.180,22.647
9723480,130,11940,4095,14.186,22.653
9755815,130,11946,4095,14.198,22.665
9788517,142,11954,4095,14.215,22.682
9820866,142,11963,4095,14.234,22.701
9853172,142,11981,4095,14.271,22.738
9885495,142,12013,4095,14.338,22.805
9917816,143,12059,4095,14.434,22.901
9950156,144,12121,4095,14.563,23.030
9982472,145,12190,4095,14.707,23.174
10014789,146,12261,4095,14.855,23.322
10047111,147,12338,4095,15.015,23.482
10079444,148,12427,4095,15.200,23.667
10111761,150,12521,4095,15.396,23.863
10144083,152,12620,4095,15.602,24.069
10176402,153,12722,4095,15.815,24.282
10208733,155,12825,4095,16.030,24.497
10241048,157,12930,4095,16.248,24.715
10273373,159,13031,4095,16.459,24.926
10305695,160,13133,4095,16.671,25.138
10338027,162,13237,4095,16.888,25.355
10370344,164,13342,4095,17.107,25.574
10402663,165,13448,4095,17.327,25.794
10434972,167,13558,4095,17.557,26.024
10467310,168,13671,4095,17.792,26.259
10499612,170,13790,4095,18.040,26.507
10531937,171,13993,4095,18.463,26.930
10564236,173,14107,4095,18.700,27.167
10596559,174,14169,4095,18.830,27.297
10628882,175,14264,4095,19.027,27.494
10661219,176,14371,4095,19.250,27.717
10693529,177,14482,4095,19.482,27.949
10725848,178,14592,4095,19.711,28.178
10758167,178,14701,4095,19.938,28.405
10790506,179,14814,4095,20.173,28.640
10822821,179,14914,4095,20.382,28.849
10855144,180,15009,4095,20.580,29.047
10887463,180,15117,4095,20.805,29.272
10919794,180,15225,4095,21.030,29.497
10952111,180,15331,4095,21.250,29.717
10984434,180,15433,4095,21.463,29.930
11016756,180,15530,4095,21.665,30.132
11049088,180,15624,4095,21.861,30.328
11081410,179,15711,4095,22.042,30.509
11113728,179,15791,4095,22.209,30.676
11146049,179,15865,4095,22.363,30.830
11178382,179,15931,4095,22.500,30.967
11210691,178,15990,4095,22.623,31.090
11243023,178,16045,4095,22.738,31.205
11275332,177,16093,4095,22.838,31.305
11307667,177,16135,4095,22.925,31.392
11339968,177,16172,4095,23.002,31.469
11372310,177,16205,4095,23.071,31.538
11404632,177,16234,4095,23.132,31.599
11436968,177,16259,4095,23.184,31.651
11469274,176,16281,4095,23.230,31.697
11501605,175,16301,4095,23.271,31.738
11533926,173,16318,4095,23.307,31.774
11566260,172,16331,4095,23.334,31.801
11598569,171,16340,4095,23.352,31.819
11630900,170,16342,4095,23.357,31.824
11663218,169,16339,4095,23.350,31.817
11695550,168,16393,4095,23.463,31.930
11727858,167,16419,4095,23.517,31.984
11760185,166,16399,4095,23.475,31.942
11792507,165,16335,4095,23.342,31.809
11824841,164,16275,4095,23.217,31.684
11857151,163,16216,4095,23.094,31.561
11889474,162,16152,4095,22.961,31.428
11921807,161,16081,4095,22.813,31.280
11954137,161,16007,4095,22.659,31.126
11986446,160,15901,4095,22.438,30.905
12018765,159,15806,4095,22.240,30.707
12051090,158,15726,4095,22.073,30.540
12083427,158,15651,4095,21.917,30.384
12115736,157,15578,4095,21.765,30.232
12148063,156,15503,4095,21.609,30.076
12180371,155,15425,4095,21.446,29.913
12212701,155,15347,4095,21.284,29.751
12245007,154,15270,4095,21.123,29.590
12277330,154,15262,4095,21.107,29.574
12309634,153,15212,4095,21.002,29.469
12341961,152,15108,4095,20.786,29.253
12374279,152,15000,4095,20.561,29.028
12406611,151,14907,4095,20.367,28.834
12438921,151,14821,4095,20.188,28.655
12471251,150,14737,4095,20.013,28.480
12503572,150,14657,4095,19.846,28.313
12535904,150,14581,4095,19.688,28.155
12568212,149,14508,4095,19.536,28.003
12600535,149,14437,4095,19.388,27.855
12632850,149,14373,4095,19.255,27.722
12665187,150,14314,4095,19.132,27.599
12697488,151,14292,4095,19.086,27.553
12729815,153,14263,4095,19.025,27.492
12762116,154,14189,4095,18.871,27.338
12794440,155,14122,4095,18.732,27.199
12826760,157,14081,4095,18.646,27.113
12859088,158,14055,4095,18.592,27.059
12891410,159,14037,4095,18.555,27.022
12923728,161,14028,4095,18.536,27.003
12956049,162,14027,4095,18.534,27.001
12988382,164,14036,4095,18.552,27.019
13020692,165,14055,4095,18.592,27.059
13053022,164,14089,4095,18.663,27.130
13085337,163,14135,4095,18.759,27.226
13117672,162,14192,4095,18.877,27.344
13149991,162,14255,4095,19.009,27.476
13182320,161,14321,4095,19.146,27.613
13214637,160,14386,4095,19.282,27.749
13246966,159,14449,4095,19.413,27.880
13279274,159,14508,4095,19.536,28.003
13311605,158,14558,4095,19.640,28.107
13343927,157,14601,4095,19.730,28.197
13376260,156,14626,4095,19.782,28.249
13408570,156,14635,4095,19.800,28.267
13440900,155,14718,4095,19.973,28.440
13473210,154,14764,4095,20.069,28.536
13505545,154,14786,4095,20.115,28.582
13537845,153,14779,4095,20.100,28.567
13570167,152,14733,4095,20.005,28.472
13602472,152,14703,4095,19.942,28.409
13634789,151,14675,4095,19.884,28.351
13667111,150,14643,4095,19.817,28.284
13699443,150,14605,4095,19.738,28.205
13731760,149,14562,4095,19.648,28.115
13764083,149,14514,4095,19.548,28.015
13796398,148,14461,4095,19.438,27.905
13828733,147,14405,4095,19.321,27.788
13861046,147,14340,4095,19.186,27.653
13893373,146,14260,4095,19.019,27.486
13925695,146,14195,4095,18.884,27.351
13958027,145,14135,4095,18.759,27.226
13990345,145,14080,4095,18.644,27.111
14022663,144,14029,4095,18.538,27.005
14054984,144,13985,4095,18.446,26.913
14087319,143,13943,4095,18.359,26.826
14119627,143,13900,4095,18.269,26.736
14151961,142,13853,4095,18.171,26.638
14184271,142,13803,4095,18.067,26.534
14216606,141,13751,4095,17.959,26.426
14248906,141,13698,4095,17.848,26.315
14281231,140,13642,4095,17.732,26.199
14313533,140,13584,4095,17.611,26.078
14345850,139,13525,4095,17.488,25.955
14378172,139,13466,4095,17.365,25.832
14410506,138,13405,4095,17.238,25.705
14442821,138,13346,4095,17.115,25.582
14475144,138,13286,4095,16.990,25.457
