tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291504,142,1974,4095,0.006,1.890
3323861,142,1974,4095,0.006,1.890
3356183,142,1985,4095,0.029,1.913
3388484,142,2032,4095,0.127,2.011
3420817,143,2126,4095,0.323,2.207
3453138,144,2261,4095,0.604,2.488
3485464,145,2417,4095,0.929,2.813
3517774,146,2579,4095,1.267,3.151
3550102,147,2744,4095,1.611,3.494
3582416,148,2911,4095,1.959,3.842
3614754,150,3082,4095,2.315,4.199
3647067,152,3249,4095,2.663,4.547
3679390,153,3416,4095,3.011,4.894
3711719,155,3582,4095,3.356,5.240
3744050,157,3749,4095,3.704,5.588
3776356,159,3913,4095,4.046,5.930
3808679,160,4074,4095,4.381,6.265
3841010,162,4236,4095,4.719,6.603
3873342,164,4401,4095,5.063,6.947
3905654,165,4567,4095,5.409,7.292
3937973,167,4733,4095,5.754,7.638
3970306,168,4901,4095,6.104,7.988
4002631,170,5069,4095,6.454,8.338
4034944,171,5237,4095,6.804,8.688
4067267,173,5401,4095,7.146,9.030
4099578,174,5566,4095,7.490,9.374
4131921,175,5729,4095,7.829,9.713
4164235,176,5893,4095,8.171,10.055
4196557,177,6057,4095,8.513,10.397
4228880,178,6224,4095,8.861,10.744
4261219,178,6390,4095,9.206,11.090
4293531,179,6557,4095,9.554,11.438
4325850,179,6725,4095,9.904,11.788
4358173,180,6891,4095,10.250,12.134
4390506,180,7054,4095,10.590,12.474
4422822,180,7215,4095,10.925,12.809
4455145,180,7376,4095,11.261,13.144
4487457,180,7535,4095,11.592,13.476
4519795,180,7692,4095,11.919,13.803
4552111,180,7845,4095,12.238,14.122
4584434,179,7998,4095,12.556,14.440
4616756,179,8150,4095,12.873,14.757
4649089,179,8294,4095,13.173,15.057
4681410,179,8434,4095,13.465,15.349
4713728,178,8576,4095,13.761,15.644
4746051,178,8715,4095,14.050,15.934
4778382,177,8851,4095,14.334,16.217
4810693,177,8983,4095,14.609,16.492
4843022,177,9110,4095,14.873,16.757
4875341,177,9232,4095,15.127,17.011
4907672,177,9348,4095,15.369,17.253
4939994,177,9461,4095,15.604,17.488
4972338,176,9569,4095,15.829,17.713
