pwm(%);adc(bits);pressao(kPa);aquisicao(us);calculo(us);total(us)
30;6330;1.783;32218;4;32222
35;6653;2.457;32218;4;32222
40;7304;3.814;32218;4;32222
45;8033;5.332;32218;4;32222
50;8904;7.147;32218;4;32222
55;10135;9.711;32218;4;32222
60;11720;13.012;32218;4;32222
65;12862;15.391;32218;4;32222
70;13648;17.030;32218;4;32222
75;15449;20.781;32218;4;32222
80;16525;23.022;32218;4;32222
85;18234;26.583;32218;4;32222
90;20033;30.332;32218;4;32222
95;21339;33.052;32218;4;32222
100;24460;39.554;32218;4;32222
